dy,dc,dinve,labobs,pinfobs,dw,robs
-0.346646871942539,0.125190343495092,3.74590245809472,2.40599138364342,1.73321288857178,-0.390910855357731,0.209166666666667
1.15161239527572,-0.311350549973952,7.8632665246694,3.12008510042114,2.48223977335953,0.149491058377833,0.251666666666667
1.16038522796237,0.429219445192359,3.03630734680101,3.7227805829686,0.760128270556626,1.80411479077715,0.2725
1.53376234618327,1.10204814758356,1.05355467484111,3.70532905517217,0.883676382216336,0.374201838469659,0.275
0.247688219858674,-0.514535875011632,-0.054366832738566,3.71684726813896,1.8409541555473,0.628307103489846,0.2875
0.0739084412649618,0.0960511445626366,-0.410564067900935,2.97850194689227,0.247338225209548,0.964797828024913,0.31
-1.66438273365395,-0.382119840181304,-5.98467636772344,2.0904918554013,-0.398455006770648,0.398455006770689,0.3175
-0.539529184386311,1.7562547965365,-2.40616152192817,0.365709158814525,-1.10095087276125,1.10095087276125,0.3175
0.83676666115764,-0.0381809032957676,-1.24411612082761,-0.440932473002476,-0.576582594719133,1.77420169939067,0.285833333333333
-1.31267961165202,0.952915189957594,2.92601419881703,-0.0888388694549462,0.0983767910132549,-0.0983767910132656,0.294166666666667
3.7275294464747,1.50105472828255,5.8565465387299,0.0559662336830797,-0.307749365805066,2.66079910682451,0.300833333333333
2.66242880952962,1.44021227274669,9.86864732111715,1.86134494126838,0.39374973967865,0.762332500428933,0.313333333333333
3.62979390543319,4.76315338667251,7.80250117903879,3.26170775836749,2.09024501598964,0.182580091765963,0.33
2.058564265717,-2.9568287628029,-1.84539139398265,3.91358887387804,1.9059540621623,0.316359616308709,0.359166666666667
1.47994349966473,2.16327190545343,-3.77026343348561,4.70659391993797,3.6607817602528,-0.417254184937363,0.366666666666667
1.86293638822508,-2.50974652162233,-3.57856052816862,4.88353991762727,0.61238567427071,0.445825258782982,0.3975
1.94214491685773,1.21688658652727,-1.09397220814569,4.32712691767733,0.0565131408089226,2.02689554947523,0.425833333333333
-0.023129631364327,0.610431493283897,-1.29620395693397,4.39869574064272,1.10125846080451,-0.0756084440855744,0.4275
0.923349585105143,0.595631179795532,1.78197084111221,4.90854911753706,-0.0950384418145322,2.11530917356649,0.416666666666667
-0.0666815494147386,1.62515565444977,1.43990445664903,3.96348327702947,0.189986646328189,-0.189986646328215,0.436666666666667
0.327554218218211,-0.318993889670651,-7.68357054064359,3.79748637530827,1.14344052210056,-0.148407436783714,0.470833333333333
2.88999951632206,2.9853311740012,6.555164697121,4.66469511061229,0.29208364431863,2.63495458569266,0.498333333333333
0.952820153383414,0.654750608618315,3.05398252039646,5.74498734691264,0,0.956945101615069,0.52
0.538329847851514,0.369727760692172,0.700180829241106,4.41089669055452,0.186926218594019,1.69992221184427,0.563333333333333
-0.825008405488461,-0.303738495757159,0.308251212012095,3.1434609119425,0.383751361792806,0.546487904438564,0.514166666666667
-1.9284216912896,-0.771388492760025,-1.83604089758222,1.52694793053126,0.218627109382385,0.703038401110007,0.393333333333333
-0.84055180936241,0.184604161746449,-2.33652946899923,0.685806016455331,0.321605030405125,0.591643325922114,0.29
-0.186697025815988,0.811455305093318,1.66473112516078,-0.0510200591485841,0.0924742361980257,-0.092474236198008,0.2225
0.852539362231937,0.576932144730677,3.52508037392226,-0.534355056351671,0.179265061451961,0.725718490539784,0.256666666666667
1.64573708766568,1.37724385989509,1.66561742841617,0.218354868806273,0.281827729761597,0.615039268514487,0.246666666666667
2.5216388894263,1.73727018612993,3.08579685685316,1.28093757713054,0.480523560472479,0.408371181252143,0.335833333333333
